,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
0,NISSAN Qashqai 1.5dCi N-Vision 4x2,NISSAN,Qashqai,,4x2,14610.0,2017-02-01,Diesel,59930.0,Todo Terreno,Manual,110.0,18.0,C,39
1,NISSAN Qashqai 1.2 DIG-T Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,20300.0,2017-08-01,Gasolina,11700.0,Todo Terreno,Manual,115.0,12.0,C,33
2,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,29900.0,2019-08-01,Eléctrico,1000.0,Berlina mediana o grande,Manual,150.0,36.0,0 EMISIONES,9
3,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,18310.0,2019-05-01,Diesel,14086.0,Todo Terreno,Manual,115.0,24.0,C,12
4,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6200.0,2017-02-01,Gasolina,73064.0,Berlina,Manual,80.0,24.0,C,39
5,NISSAN Juke 1.6 Acenta 4x2 112,NISSAN,Juke,Acenta,4x2,14400.0,2019-04-01,Gasolina,7893.0,Todo Terreno,Manual,112.0,24.0,C,13
6,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16195.0,2018-01-01,Gasolina,14250.0,Todo Terreno,Manual,115.0,36.0,C,28
7,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,13200.0,2018-12-01,Gasolina,18355.0,Berlina,Manual,100.0,12.0,C,17
8,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18500.0,2018-06-01,Gasolina,16000.0,Todo Terreno,Manual,115.0,12.0,C,23
9,NISSAN Pathfinder 2.5dCi FE 7(FLOTAS),NISSAN,Pathfinder,,4x2,11000.0,2006-07-01,Diesel,219000.0,Todo Terreno,Manual,174.0,6.0,B,166
10,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,13490.0,2015-04-01,Diesel,119000.0,Todo Terreno,Manual,130.0,12.0,C,61
11,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,13500.0,2015-05-01,Diesel,100000.0,Todo Terreno,Manual,110.0,12.0,C,60
12,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,16900.0,2017-07-01,Eléctrico,15000.0,-,Automático,,12.0,0 EMISIONES,34
13,NISSAN Micra IG-T N-Connecta 100,NISSAN,Micra,N-Connecta,4x2,11700.0,2018-12-01,Gasolina,16100.0,Berlina,Manual,100.0,12.0,C,17
14,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10000.0,2017-12-01,Gasolina,40000.0,Todo Terreno,Manual,115.0,12.0,C,29
15,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,19400.0,2018-07-01,Diesel,15000.0,Todo Terreno,Manual,130.0,12.0,C,22
16,NISSAN X-Trail 1.6 dCi Acenta 4x4-i,NISSAN,X-Trail,Acenta,4x4,14800.0,2016-01-01,Diesel,157454.0,Todo Terreno,Manual,130.0,12.0,C,52
