,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
0,NISSAN Qashqai  1.3 DIG-T Acenta N-STYLE,NISSAN,Qashqai,Acenta,4x2,16810.0,2019-06-01,Gasolina,13200.0,Berlina mediana o grande,Manual,140.0,24.0,C,11
1,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,7500.0,2017-02-01,Gasolina,62000.0,Berlina,Manual,90.0,12.0,C,39
2,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14900.0,2017-04-01,Diesel,44000.0,Todo Terreno,Manual,110.0,12.0,C,37
3,NISSAN Juke 1.6 Tekna 4x2 XTronic CVT 112,NISSAN,Juke,Tekna,4x2,15900.0,2018-10-01,Gasolina,7879.0,Todo Terreno,Automático,112.0,12.0,C,19
4,NISSAN X-Trail 1.6 DIG-T N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,25500.0,2019-12-01,Gasolina,0.0,Todo Terreno,Manual,163.0,12.0,C,5
5,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,13490.0,2016-08-01,Gasolina,55816.0,Todo Terreno,Manual,115.0,12.0,C,45
6,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2018-07-01,Diesel,18551.0,Todo Terreno,Manual,130.0,12.0,C,22
7,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,11990.0,2017-01-01,Gasolina,79205.0,Todo Terreno,Automático,117.0,12.0,C,40
8,NISSAN Qashqai  1.5dCi 360 4x2 desde 245 euros/mes,NISSAN,Qashqai,,4x2,14000.0,2015-10-01,Diesel,115340.0,"4x4, SUV o pickup",Manual,110.0,12.0,C,55
9,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,21900.0,2020-01-01,Diesel,0.0,Todo Terreno,Manual,115.0,12.0,C,4
