,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
0,NISSAN Leaf Tekna,NISSAN,Leaf,Tekna,4x2,11060.0,2014-06-01,Eléctrico,33570.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,71
1,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15900.0,2016-06-01,Diesel,99900.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,47
2,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6200.0,2017-02-01,Gasolina,73064.0,Berlina,Manual,80.0,24.0,Plata,C,39
3,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11410.0,2017-11-01,Gasolina,44339.0,Todo Terreno,Manual,115.0,12.0,Rojo,C,30
4,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 117kW,NISSAN,Qashqai,Acenta,4x2,20900.0,2019-03-01,Gasolina,39641.0,Todo Terreno,Manual,160.0,12.0,Gris,C,14
5,NISSAN Qashqai 1.5dCi Tekna Premium 4x2 17´´,NISSAN,Qashqai,Tekna,4x2,7990.0,2011-01-01,Diesel,200000.0,Todo Terreno,Manual,106.0,12.0,Blanco,B,112
6,NISSAN Juke 1.6i Acenta,NISSAN,Juke,Acenta,4x2,8800.0,2010-01-01,Gasolina,100366.0,Todo Terreno,Manual,117.0,12.0,Negro                 / Metalizado,C,124
7,NISSAN Micra 1.0 DIG-T ACENTA 86KW 117 5P,NISSAN,Micra,Acenta,4x2,13500.0,2019-11-01,Gasolina,10.0,Berlina mediana o grande,Manual,117.0,0.0,-,C,6
8,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,NISSAN,Qashqai,N-Connecta,4x2,21800.0,2019-02-01,Gasolina,45426.0,Todo Terreno,Automático,160.0,12.0,Blanco,C,15
9,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14900.0,2015-01-01,Diesel,82562.0,Todo Terreno,Manual,110.0,12.0,Negro                 / Metalizado,C,64
10,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,10990.0,2017-04-01,Diesel,46300.0,Todo Terreno,Manual,110.0,Sí,Plata,C,37
